,ttext,date,isretweet,retweetcount,favoritecount,score,product,state,country,duplicate,airline_sentiment
121,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 5:46,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
122,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 5:45,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
123,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 5:38,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
124,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 5:12,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
125,New job posting: Require Md- Pahology For A Medical College In Andhra Pradesh Hyderabad JobsInIndia  ,24/07/18 5:07,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
126,"@JhaSanjay Jha2, that bastard swamy was beaten in Andhra yesterday.Good job",24/07/18 5:04,FALSE,0,0,-1,Employment,Andhra Pradesh,India,FALSE,negative
127,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 5:00,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
128,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 4:24,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
129,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 4:12,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
130,New job posting: Require Md-psm  For A Medical College In Andhra Pradesh Hyderabad   ,24/07/18 3:07,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
131,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 2:50,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
132,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 0:52,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
133,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 0:17,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
134,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 0:02,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
